instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
XAUUSD,macro_nfp_window,1M,499,0.0737,0.17746,0.92245,False,0.0902,nan,nan,nan,D = No predictive edge
XAUUSD,macro_nfp_window,5M,499,0.0055,0.9131,1.0,False,0.006,nan,nan,nan,D = No predictive edge
XAUUSD,macro_nfp_window,15M,499,-0.0504,0.33825,1.0,False,-0.057,nan,nan,nan,D = No predictive edge
XAUUSD,macro_nfp_window,30M,499,-0.0789,0.1524,0.92245,False,-0.0933,nan,nan,nan,D = No predictive edge
XAUUSD,macro_nfp_window,1H,499,-0.0991,0.08287,0.76495,False,-0.1221,nan,nan,nan,D = No predictive edge
XAUUSD,macro_nfp_window,4H,499,-0.0723,0.18449,0.92245,False,-0.0825,nan,nan,nan,D = No predictive edge
XAUUSD,macro_cpi_window,1H,499,-0.0699,0.1978,0.92912,False,nan,nan,-0.1779,8e-05,B = Promising but insufficient evidence
XAUUSD,macro_cpi_window,15M,499,-0.0486,0.35449,1.0,False,nan,nan,-0.1633,-0.00016,B = Promising but insufficient evidence
XAUUSD,macro_cpi_window,5M,499,0.0452,0.38699,1.0,False,nan,nan,0.1568,-0.00023,B = Promising but insufficient evidence
XAUUSD,macro_fomc_window,1M,499,0.0132,0.79435,1.0,False,nan,0.0302,nan,nan,D = No predictive edge
XAUUSD,macro_fomc_window,5M,499,-0.0273,0.59386,1.0,False,nan,-0.0734,nan,nan,D = No predictive edge
XAUUSD,macro_fomc_window,15M,499,-0.0337,0.51338,1.0,False,nan,-0.0882,nan,nan,D = No predictive edge
XAUUSD,macro_fomc_window,30M,499,-0.0342,0.50781,1.0,False,nan,-0.0935,nan,nan,D = No predictive edge
XAUUSD,macro_fomc_window,1H,499,-0.0501,0.34132,1.0,False,nan,-0.1261,nan,nan,D = No predictive edge
XAUUSD,macro_fomc_window,4H,499,-0.0121,0.81132,1.0,False,nan,-0.0368,nan,nan,D = No predictive edge
XAUUSD,cme_vol_accel,5M,499,0.0526,0.31927,1.0,False,0.0357,0.2412,-0.2092,-0.00021,B = Promising but insufficient evidence
EURUSD,macro_fomc_window,1M,499,-0.0886,0.11403,0.80492,False,-0.1524,-0.0145,nan,nan,D = No predictive edge
EURUSD,macro_fomc_window,5M,499,0.003,0.95239,1.0,False,-0.0517,0.1232,nan,nan,D = No predictive edge
EURUSD,macro_fomc_window,15M,499,-0.0463,0.37699,1.0,False,-0.0546,-0.0677,nan,nan,D = No predictive edge
EURUSD,macro_fomc_window,30M,499,0.0185,0.71608,1.0,False,-0.0168,0.1286,nan,nan,D = No predictive edge
EURUSD,macro_fomc_window,1H,499,-0.0532,0.31465,1.0,False,-0.0354,-0.0952,nan,nan,D = No predictive edge
EURUSD,macro_fomc_window,4H,499,-0.0274,0.59244,1.0,False,-0.0215,-0.0428,nan,nan,D = No predictive edge
