instrument,feature_name,horizon,sample_count,pearson_r,raw_p_value,fdr_adjusted_p_value,is_fdr_significant,train_ic,val_ic,oos_ic,oos_net_expectancy,classification
NAS100,mom_accel,30M,499,0.0412,0.42829,0.86352,False,0.2071,0.1343,-0.4274,0.00039,B = Promising but insufficient evidence
NAS100,mom_ret_5,30M,499,-0.0258,0.61379,0.92068,False,-0.1216,-0.2283,0.4207,0.00038,A = Robust predictive edge
NAS100,trend_ma_slope,30M,499,0.0111,0.82677,0.99174,False,-0.0758,-0.2003,0.4198,0.00038,A = Robust predictive edge
NAS100,activity_vol_burst,15M,499,0.0005,0.99282,0.99898,False,-0.0839,-0.4077,0.3753,6e-05,A = Robust predictive edge
NAS100,mom_accel,15M,499,0.102,0.07588,0.66626,False,0.2659,-0.0262,-0.3616,5e-05,B = Promising but insufficient evidence
NAS100,vol_realized,30M,499,-0.0919,0.1032,0.70098,False,-0.0003,-0.0992,-0.3579,0.00028,B = Promising but insufficient evidence
NAS100,activity_vol_burst,30M,499,0.1724,0.00799,0.41091,False,0.0825,0.0006,0.3557,0.00028,A = Robust predictive edge
NAS100,mom_ret_5,5M,499,-0.0124,0.80629,0.99066,False,-0.0242,-0.2744,0.3554,-9e-05,B = Promising but insufficient evidence
GBPUSD,struct_dist_high,15M,499,-0.0292,0.56888,0.91274,False,0.0455,-0.0947,-0.3543,-0.00022,B = Promising but insufficient evidence
XAUUSD,trend_ma_slope,5M,499,-0.0952,0.09349,0.69826,False,-0.1277,0.1893,-0.3518,-0.00014,B = Promising but insufficient evidence
NAS100,activity_vol_burst,1H,499,0.178,0.00665,0.399,False,0.1164,0.0742,0.3464,0.00046,A = Robust predictive edge
NAS100,trend_ma_slope,15M,499,-0.0326,0.52666,0.90912,False,-0.0751,-0.2134,0.3408,3e-05,A = Robust predictive edge
NAS100,struct_dist_high,30M,499,-0.0976,0.08689,0.68001,False,-0.0318,0.0734,-0.3367,0.00025,B = Promising but insufficient evidence
NAS100,trend_ma_slope,5M,499,0.0089,0.86034,0.99174,False,0.0085,-0.2543,0.3324,-0.0001,B = Promising but insufficient evidence
NAS100,mom_ret_5,15M,499,-0.0903,0.10854,0.71522,False,-0.157,-0.2232,0.3272,2e-05,A = Robust predictive edge
NAS100,mom_accel,5M,499,0.0369,0.47538,0.8853,False,0.1253,0.1099,-0.3225,-0.00011,B = Promising but insufficient evidence
XAUUSD,trend_dev_mean,5M,499,-0.0852,0.1265,0.75192,False,-0.0806,0.1053,-0.3201,-0.00016,B = Promising but insufficient evidence
GBPUSD,struct_dist_high,5M,499,-0.0696,0.19978,0.76189,False,-0.01,-0.1069,-0.3131,-0.00026,B = Promising but insufficient evidence
XAUUSD,mom_ret_5,5M,499,-0.0979,0.08609,0.68001,False,-0.1243,0.1739,-0.2936,-0.00017,B = Promising but insufficient evidence
NAS100,activity_vol_burst,5M,499,0.0579,0.27663,0.79972,False,0.0609,-0.3383,0.2935,-0.00013,B = Promising but insufficient evidence
NAS100,trend_dev_mean,30M,499,-0.0143,0.77798,0.98229,False,-0.0558,-0.1794,0.2934,0.00018,A = Robust predictive edge
EURUSD,trend_dev_mean,1M,499,-0.1445,0.01981,0.5292,False,-0.2571,-0.1116,0.2867,-0.00029,B = Promising but insufficient evidence
EURUSD,liq_dist_vwap,1M,499,-0.1173,0.04708,0.58713,False,-0.2343,-0.164,0.2805,-0.00029,B = Promising but insufficient evidence
NAS100,vol_atr_14,30M,499,-0.059,0.26867,0.79972,False,-0.0061,0.0907,-0.2732,0.00014,B = Promising but insufficient evidence
NAS100,trend_ma_slope,1H,499,-0.0052,0.91764,0.99851,False,-0.0676,-0.0617,0.2712,0.0003,A = Robust predictive edge
NAS100,liq_dist_vwap,30M,499,0.0088,0.86161,0.99174,False,-0.0231,-0.1595,0.2686,0.00014,A = Robust predictive edge
GBPUSD,vol_realized,5M,499,-0.054,0.30751,0.80846,False,-0.0305,-0.0122,-0.2642,-0.00027,B = Promising but insufficient evidence
EURUSD,mom_ret_15,1M,499,-0.116,0.04918,0.58713,False,-0.2121,-0.1013,0.2633,-0.00029,B = Promising but insufficient evidence
GBPUSD,vol_atr_14,5M,499,0.0017,0.97306,0.99898,False,0.0482,0.0579,-0.2563,-0.00027,B = Promising but insufficient evidence
XAUUSD,mom_ret_1,5M,499,-0.0672,0.21391,0.76245,False,-0.0795,0.12,-0.2538,-0.00019,B = Promising but insufficient evidence
GBPUSD,struct_dist_high,1M,499,-0.0278,0.58786,0.92008,False,0.0325,-0.149,-0.2535,-0.00028,B = Promising but insufficient evidence
NAS100,mom_accel,1H,499,0.0618,0.24843,0.76735,False,0.1573,0.0714,-0.2534,0.00026,B = Promising but insufficient evidence
NAS100,mom_ret_5,1H,499,-0.0553,0.29732,0.80846,False,-0.113,-0.1363,0.25,0.00025,A = Robust predictive edge
XAUUSD,mom_accel,5M,499,0.0714,0.18959,0.7567,False,0.0889,-0.1196,0.2453,-0.00019,B = Promising but insufficient evidence
NAS100,struct_dist_high,15M,499,0.0563,0.28936,0.80752,False,0.1376,0.1313,-0.243,-6e-05,B = Promising but insufficient evidence
NAS100,vol_realized,15M,499,-0.0712,0.19066,0.7567,False,0.0251,-0.2272,-0.2386,-7e-05,B = Promising but insufficient evidence
NAS100,trend_dev_mean,5M,499,-0.002,0.96852,0.99898,False,0.0342,-0.2671,0.2384,-0.00016,B = Promising but insufficient evidence
NAS100,trend_dev_mean,15M,499,-0.0996,0.08171,0.67917,False,-0.1344,-0.2325,0.2364,-7e-05,B = Promising but insufficient evidence
XAUUSD,mom_ret_15,5M,499,-0.066,0.22108,0.76735,False,-0.0548,0.0427,-0.2359,-0.00019,B = Promising but insufficient evidence
