symbol,state_name,horizon,sample_size,frequency_pct,avg_fwd_return,volatility,win_probability,prob_reach_1r,prob_reach_2r,gross_expectancy_r,net_expectancy_r,profit_factor,classification
EURUSD,TRENDING_BEARISH,1M,1,0.1,0.00085,0.0,1.0,0.0,0.0,850.0,550.0,851.73,D = No state conditional edge
NAS100,VOLATILITY_EXPANSION,60M,25,2.5,0.00067,0.00201,0.68,0.36,0.08,0.33,0.18,2.54,D = No state conditional edge
XAUUSD,RANGING,240M,18,1.8,0.00183,0.00924,0.5556,0.7222,0.6667,0.2,0.17,1.67,D = No state conditional edge
NAS100,RANGING,240M,24,2.4,0.00177,0.00912,0.625,0.75,0.625,0.19,0.16,1.61,D = No state conditional edge
XAUUSD,TRENDING_BULLISH,240M,20,2.0,0.00084,0.008,0.45,0.7,0.5,0.11,0.07,1.31,D = No state conditional edge
NAS100,VOLATILITY_EXPANSION,15M,25,2.5,0.00038,0.00128,0.52,0.16,0.04,0.3,0.06,2.41,D = No state conditional edge
NAS100,TRENDING_BULLISH,240M,25,2.5,0.00083,0.00933,0.52,0.68,0.44,0.09,0.06,1.29,D = No state conditional edge
XAUUSD,TRENDING_BULLISH,60M,20,2.0,0.00051,0.00537,0.55,0.6,0.3,0.09,0.04,1.28,D = No state conditional edge
NAS100,SESSION_TRANSITION,60M,173,17.3,0.00043,0.0036,0.5954,0.4335,0.2081,0.12,0.04,1.41,A = Robust market state edge
NAS100,VOLATILITY_COMPRESSION,15M,16,1.6,0.00034,0.0015,0.5625,0.125,0.0625,0.23,0.03,2.21,D = No state conditional edge
XAUUSD,VOLATILITY_EXPANSION,60M,26,2.6,0.00028,0.00218,0.6538,0.4231,0.1154,0.13,-0.01,1.38,D = No state conditional edge
XAUUSD,SESSION_TRANSITION,240M,178,17.8,5e-05,0.00584,0.5112,0.7247,0.4551,0.01,-0.04,1.03,D = No state conditional edge
NAS100,VOLATILITY_EXPANSION,240M,25,2.5,0.00013,0.00403,0.56,0.64,0.32,0.03,-0.04,1.08,D = No state conditional edge
NAS100,SESSION_TRANSITION,240M,172,17.2,5e-05,0.007,0.5698,0.6919,0.4244,0.01,-0.04,1.02,D = No state conditional edge
XAUUSD,TRENDING_BEARISH,5M,17,1.7,0.00022,0.00161,0.5294,0.1765,0.0,0.14,-0.05,1.47,D = No state conditional edge
XAUUSD,VOLATILITY_EXPANSION,15M,26,2.6,0.00025,0.00109,0.6154,0.0769,0.0,0.23,-0.05,1.88,D = No state conditional edge
XAUUSD,VOLATILITY_COMPRESSION,240M,5,0.5,4e-05,0.0054,0.4,0.4,0.4,0.01,-0.05,1.02,D = No state conditional edge
NAS100,LOW_VOLATILITY,240M,711,71.2,1e-05,0.00507,0.519,0.6217,0.3207,0.0,-0.06,1.01,D = No state conditional edge
NAS100,VOLATILITY_COMPRESSION,240M,16,1.6,-1e-05,0.00494,0.5625,0.625,0.375,-0.0,-0.06,1.0,D = No state conditional edge
NAS100,TRENDING_BEARISH,240M,25,2.5,-0.00041,0.00961,0.44,0.76,0.52,-0.04,-0.07,0.89,D = No state conditional edge
XAUUSD,RANGING,60M,18,1.8,-0.00011,0.00528,0.6111,0.7222,0.3889,-0.02,-0.08,0.94,D = No state conditional edge
XAUUSD,RANGING,15M,18,1.8,0.0,0.0029,0.4444,0.2778,0.1667,0.0,-0.1,1.0,D = No state conditional edge
XAUUSD,LOW_VOLATILITY,240M,734,73.5,-0.00027,0.00598,0.4523,0.6226,0.3651,-0.05,-0.1,0.88,D = No state conditional edge
NAS100,LOW_VOLATILITY,60M,712,71.2,6e-05,0.0024,0.5323,0.2949,0.0604,0.03,-0.1,1.07,D = No state conditional edge
XAUUSD,LOW_VOLATILITY,60M,735,73.5,-4e-05,0.00272,0.4721,0.3293,0.1048,-0.01,-0.12,0.96,D = No state conditional edge
GBPUSD,SESSION_TRANSITION,240M,169,16.9,6e-05,0.0019,0.4734,0.2249,0.0828,0.03,-0.13,1.09,D = No state conditional edge
XAUUSD,SESSION_TRANSITION,60M,179,17.9,-0.00018,0.00331,0.5196,0.4693,0.1844,-0.05,-0.14,0.86,D = No state conditional edge
NAS100,VOLATILITY_COMPRESSION,60M,16,1.6,-0.00025,0.0037,0.5,0.4375,0.1875,-0.07,-0.15,0.84,D = No state conditional edge
NAS100,SESSION_TRANSITION,15M,173,17.3,-4e-05,0.00189,0.5318,0.1156,0.0231,-0.02,-0.18,0.94,D = No state conditional edge
XAUUSD,VOLATILITY_EXPANSION,240M,26,2.6,-0.00088,0.00605,0.4615,0.7308,0.4615,-0.15,-0.19,0.69,D = No state conditional edge
XAUUSD,TRENDING_BEARISH,15M,17,1.7,-8e-05,0.00182,0.4706,0.2353,0.0588,-0.04,-0.21,0.9,D = No state conditional edge
NAS100,LOW_VOLATILITY,15M,712,71.2,2e-05,0.00134,0.4986,0.0702,0.0169,0.01,-0.21,1.06,D = No state conditional edge
NAS100,TRENDING_BULLISH,15M,25,2.5,-0.00026,0.0026,0.36,0.24,0.12,-0.1,-0.22,0.76,D = No state conditional edge
GBPUSD,LOW_VOLATILITY,240M,774,77.6,-1e-05,0.00137,0.4767,0.1085,0.0258,-0.01,-0.23,0.97,D = No state conditional edge
NAS100,SESSION_TRANSITION,5M,173,17.3,-0.0,0.00132,0.5145,0.0173,0.0058,-0.0,-0.23,1.0,D = No state conditional edge
EURUSD,VOLATILITY_EXPANSION,60M,43,4.3,0.00014,0.00066,0.6047,0.0233,0.0,0.21,-0.24,2.19,D = No state conditional edge
EURUSD,LOW_VOLATILITY,240M,765,76.7,-1e-05,0.00131,0.4876,0.0928,0.0209,-0.01,-0.24,0.99,D = No state conditional edge
NAS100,TRENDING_BULLISH,60M,25,2.5,-0.00089,0.00506,0.44,0.52,0.24,-0.18,-0.24,0.65,D = No state conditional edge
NAS100,RANGING,60M,24,2.4,-0.00109,0.00571,0.4167,0.5833,0.3333,-0.19,-0.24,0.62,D = No state conditional edge
