trade_id,timestamp,instrument,direction,session,market_regime,entry_price,exit_price,volume,mfe_pips,mae_pips,spread_cost_usd,commission_usd,net_pnl_usd,r_multiple,outcome
FWD_001,2026-08-20T08:15:00Z,XAUUSD,LONG,LONDON,TRENDING,2400.00,2402.00,0.05,2.5,1.2,0.60,0.35,9.05,0.362,WIN
FWD_002,2026-08-20T08:45:00Z,EURUSD,SHORT,LONDON,RANGING,1.0850,1.0855,0.05,0.8,5.0,0.60,0.35,-25.95,-1.038,LOSS
FWD_003,2026-08-20T09:30:00Z,GBPUSD,LONG,LONDON,TRENDING,1.2720,1.2722,0.05,2.3,1.0,0.60,0.35,9.05,0.362,WIN
FWD_004,2026-08-20T13:30:00Z,NAS100,LONG,NEW_YORK,TRENDING,18500.0,18502.0,0.05,2.8,1.4,0.60,0.35,9.05,0.362,WIN
FWD_005,2026-08-20T14:15:00Z,XAUUSD,SHORT,NEW_YORK,VOLATILE,2405.00,2410.00,0.05,0.5,5.0,0.60,0.35,-25.95,-1.038,LOSS
FWD_006,2026-08-20T15:00:00Z,EURUSD,LONG,NEW_YORK,TRENDING,1.0860,1.0862,0.05,2.1,0.9,0.60,0.35,9.05,0.362,WIN
FWD_007,2026-08-20T15:45:00Z,GBPUSD,SHORT,NEW_YORK,RANGING,1.2710,1.2715,0.05,0.7,5.0,0.60,0.35,-25.95,-1.038,LOSS
FWD_008,2026-08-20T16:30:00Z,XAUUSD,LONG,NEW_YORK,TRENDING,2408.00,2410.00,0.05,2.6,1.1,0.60,0.35,9.05,0.362,WIN
FWD_009,2026-08-20T23:30:00Z,XAUUSD,LONG,ASIAN,RANGING,2410.00,2415.00,0.05,0.4,5.0,0.60,0.35,-25.95,-1.038,LOSS
FWD_010,2026-08-21T01:15:00Z,EURUSD,SHORT,ASIAN,RANGING,1.0840,1.0845,0.05,0.6,5.0,0.60,0.35,-25.95,-1.038,LOSS
